"","","","","","","","","",""
"PROIECTE NAȚIONALE (anul școlar 2020-2021)","Nr. beneficiari","","","","","","","",""
"Proiect național CUM SĂ CREŞTEM SĂNĂTOŞI -7 activități/proiect (Nivel preșcolar)","17530","","","","","","","",""
"Proiect național ABC-UL EMOŢIILOR-6 activități/proiect (Nivel primar)","18781","","","","","","","",""
"Proiect național NECENZURAT-12 activități/proiect (Nivel gimnazial)","12638","","","","","","","",""
"Proiect național FRED GOES NET- minimum 8 ore/proiect (Nivel liceal)","177","","","","","","","",""
"Proiect național MESAJUL MEU ANTIDROG (Nivel gimnazial și liceal )","4005","","","","","","","",""
"Proiect național EU ŞI COPILUL MEU-9 activități/proiect (adresat părinților)","1676","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"CAMPANII NAȚIONALE","Nr. beneficiari","","","","","","","",""
"Campania naţională media de prevenire a consumului de substanţe noi cu proprietăţi psihoactive  în cadrul populaţiei şcolare şi părinţilor – FII LIBER! (martie 2020 - iunie 2021)","79947","","","","","","","",""
"Campania națională de  informare privind riscurile consumului de tutun și beneficiile renunțării la fumat RENUNȚI ȘI CÂȘTIGI, derulată  în perioada 21 mai-11 iunie 2021 și marcarea ZILEI MONDIALE FĂRĂ TUTUN, 31 mai 2021","17059","","","","","","","",""
"Campania 19 ZILE DE PREVENIRE A ABUZURILOR ȘI VIOLENȚELOR ASUPRA COPIILOR ȘI TINERILOR (01-19 noiembrie 2021)","4559","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"ACTIVITĂȚI DE PREVENIRE","Nr. activități","Nr. copii","Nr. părinți","Nr. cadre didactice","","","","",""
"În mediul preşcolar","2043","24064","2405","1839","","","","",""
"În mediul primar, gimnazial şi liceal","6977","126794","6393","8754","","","","",""
"În mediul universitar","53","1572","-","80","","","","",""
"În familie","682","-","49633","-","","","","",""
"În comunitate","1758","117779 persoane","","","","","","",""
