"Urgențe medicale datorate consumului de droguri","","","",""
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și sex","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Masculin","490","149","139","438"
"Feminin","99","42","42","73"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și vârstă","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"<25","343","93","54","295"
"25-34","187","69","58","160"
">35","59","29","69","56"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și calea de administrare","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Oral/fumat/prizat","571","180","101","375"
"Altele","18","11","5","111"
"Injectabil","0","0","75","25"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și modelul de consum","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Consum singular","328","48","60","340"
"Consum combinat","261","143","121","171"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și diagnosticul de urgență","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Intoxicație","296","106","38","305"
"Utilizare nocivă","71","25","17","56"
"Dependență","58","16","85","64"
"Sevraj","11","4","26","13"
"Tulburări de comportament","116","32","10","67"
"Supradoză","1","0","2","0"
"Alte diagnostice","0","0","0","0"
"Testare toxicologică","36","8","3","6"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
